FIPS,"Berries, Other",Berry Totals,Blackberries,Blueberries,Boysenberries,Cranberries,Currants,Loganberries,Raspberries,Strawberries
13299,0.0,23.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
13301,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
13303,0.0,10.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
13305,0.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
13307,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13311,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13313,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0
13315,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
13317,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
13321,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
16001,0.0,18.0,2.0,1.0,0.0,0.0,0.0,0.0,30.0,7.0
16005,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0
16007,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
16009,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,4.0
16011,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9.0
16013,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0
16017,0.0,24.0,3.0,19.0,0.0,0.0,1.0,0.0,16.0,7.0
16019,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0
16021,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,14.0,5.0
16025,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
16027,4.0,12.0,7.0,1.0,0.0,0.0,0.0,0.0,24.0,5.0
16031,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
16041,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0
16043,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0
16045,0.0,8.0,3.0,4.0,2.0,0.0,0.0,0.0,4.0,1.0
16047,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0
16049,0.0,9.0,9.0,5.0,2.0,0.0,0.0,0.0,20.0,9.0
16051,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,2.0
16053,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
16055,0.0,35.0,7.0,7.0,2.0,0.0,1.0,0.0,29.0,21.0
16057,0.0,13.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,11.0
16065,2.0,9.0,4.0,0.0,0.0,0.0,2.0,0.0,14.0,5.0
16067,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
16069,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0
16071,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0
16073,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
16075,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0
16079,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
16081,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
16083,0.0,12.0,3.0,0.0,0.0,0.0,2.0,0.0,10.0,7.0
17001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
17005,0.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
17007,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
17011,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0
17013,0.0,11.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0
17015,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
17017,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
17019,0.0,5.0,5.0,2.0,0.0,0.0,2.0,0.0,4.0,2.0
17021,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17023,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17025,2.0,4.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0
17027,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17029,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
17031,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17035,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
17037,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17039,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,5.0
17041,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
17043,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
